transaction_date,region,transaction_count,total_amount_usd_equivalent,average_transaction_amount,successful_transactions,failed_transactions,unique_users
2024-10-19,Europe Central,1,4693.65,4693.65,1,0,1
2024-10-10,North America East,2,8430.54,4215.27,2,0,2
2024-10-10,APAC,1,3836.36,3836.36,1,0,1
2024-10-10,North America West,1,4563.1,4563.1,1,0,1
2024-10-10,Europe Central,1,2461.66,2461.66,1,0,1
2025-02-04,Europe West,1,4000.43,4000.43,1,0,1
2025-02-04,Europe Central,1,3271.58,3271.58,1,0,1
2024-07-28,North America East,2,4044.8100000000004,2022.4050000000002,1,1,2
2024-07-28,North America West,1,3847.94,3847.94,1,0,1
2024-07-28,Europe Central,1,3882.27,3882.27,0,1,1
2024-02-07,North America East,1,1754.74,1754.74,0,1,1
2024-02-07,Europe West,2,6721.7999999999993,3360.8999999999996,2,0,2
2024-02-07,North America West,2,4368.07,2184.035,2,0,2
2022-07-01,North America East,1,2804.64,2804.64,1,0,1
2022-07-01,APAC,1,269.5,269.5,0,0,1
2022-07-01,Europe West,1,3325.46,3325.46,0,1,1
2024-07-26,North America West,1,616.52,616.52,1,0,1
2024-07-26,Europe West,1,1452.51,1452.51,1,0,1
2024-07-26,APAC,1,3090.59,3090.59,0,0,1
2024-07-26,North America East,1,1275.93,1275.93,0,0,1
2024-04-21,North America East,1,1059.03,1059.03,1,0,1
2024-04-21,Europe West,1,1462.99,1462.99,0,0,1
2024-04-21,Europe Central,2,2881.24,1440.62,2,0,2
2024-08-16,North America West,1,4421.56,4421.56,0,0,1
2024-08-16,North America East,1,2698.81,2698.81,1,0,1
2024-08-16,Europe West,1,3546.6,3546.6,1,0,1
2024-08-16,APAC,1,3052.97,3052.97,1,0,1
2024-08-16,Europe Central,4,12617.990000000002,3154.4975,2,1,4
2025-03-12,APAC,1,2685.61,2685.61,0,1,1
2025-03-12,North America East,1,3906.04,3906.04,1,0,1
2025-03-12,Europe West,2,8426.41,4213.205,1,0,2
2022-10-11,Europe Central,2,5834.4699999999993,2917.2349999999997,2,0,2
2022-10-11,North America West,1,651.57,651.57,1,0,1
2023-03-10,North America West,2,3684.48,1842.24,2,0,2
2023-03-10,Europe Central,1,1089.79,1089.79,1,0,1
2024-02-04,Europe Central,1,836.68,836.68,0,1,1
2024-02-04,North America West,3,10478.84,3492.9466666666667,3,0,3
2024-08-18,North America East,2,3796.5,1898.25,2,0,2
2024-08-18,Europe West,2,6582.33,3291.165,2,0,2
2024-09-26,North America East,1,2747.07,2747.07,1,0,1
2024-09-26,Europe Central,1,4881.04,4881.04,0,0,1
2024-09-26,Europe West,1,1194.94,1194.94,0,0,1
2024-09-26,North America West,1,1724.61,1724.61,0,0,1
2024-03-14,Europe West,1,4534.62,4534.62,0,0,1
2024-03-14,North America East,3,6818.71,2272.9033333333332,3,0,3
2024-03-14,North America West,3,2480.66,826.88666666666666,1,2,3
2025-03-13,North America East,3,1580.1100000000001,526.70333333333338,3,0,3
2025-03-13,APAC,1,293.32,293.32,1,0,1
2025-03-13,Europe West,2,6004.29,3002.145,2,0,2
2022-02-04,North America East,1,4455.33,4455.33,1,0,1
2022-02-04,Europe West,1,2403.72,2403.72,0,0,1
2022-02-04,Europe Central,3,8983.69,2994.5633333333335,3,0,3
2024-07-03,Europe West,1,1661.73,1661.73,0,1,1
2024-07-03,North America West,1,3769.49,3769.49,1,0,1
2024-07-03,Europe Central,1,170.3,170.3,1,0,1
2024-07-03,North America East,2,5057.3099999999995,2528.6549999999997,2,0,2
2024-03-11,Europe West,1,4828.22,4828.22,1,0,1
2024-03-11,North America West,1,3322.65,3322.65,1,0,1
2024-03-11,Europe Central,1,2868.76,2868.76,1,0,1
2023-10-13,APAC,2,7390.22,3695.11,2,0,2
2023-10-13,North America West,2,7942.3600000000006,3971.1800000000003,2,0,2
2023-10-13,North America East,1,516.92,516.92,1,0,1
2022-07-02,North America East,2,4535.5,2267.75,2,0,2
2022-07-02,Europe West,2,5787.79,2893.895,2,0,2
2022-07-02,North America West,1,1983.33,1983.33,1,0,1
2022-07-02,APAC,1,227.17,227.17,1,0,1
2025-03-10,APAC,1,3375.31,3375.31,0,1,1
2025-03-10,North America East,2,8672.32,4336.16,1,1,2
2025-03-10,North America West,3,12285.26,4095.0866666666666,1,0,3
2025-03-10,Europe Central,3,6084.7,2028.2333333333336,2,0,3
2023-07-01,Europe Central,2,5827.4,2913.7,2,0,2
2023-07-01,North America West,1,2711.3,2711.3,1,0,1
2024-02-05,APAC,1,464.35,464.35,1,0,1
2025-03-11,APAC,1,4930.48,4930.48,1,0,1
2025-03-11,Europe West,1,519.44,519.44,1,0,1
2024-04-28,North America West,1,1226.21,1226.21,0,0,1
2024-04-28,Europe Central,1,2731.24,2731.24,0,1,1
2024-04-28,Europe West,1,1887.22,1887.22,0,0,1
2024-04-28,North America East,4,10953.560000000001,2738.39,3,0,4
2023-07-28,Europe Central,3,5775.16,1925.0533333333333,2,1,3
2023-07-28,North America East,1,3264.65,3264.65,1,0,1
2023-07-28,North America West,1,2630.5,2630.5,1,0,1
2022-07-06,Europe West,1,4637.75,4637.75,1,0,1
2022-07-06,APAC,1,2847.02,2847.02,1,0,1
2022-07-06,Europe Central,1,4891.79,4891.79,1,0,1
2022-07-06,North America West,2,4278.51,2139.255,1,1,2
2022-07-06,North America East,3,10646.599999999999,3548.8666666666663,3,0,3
2022-06-13,APAC,2,3996.2400000000002,1998.1200000000001,2,0,2
2022-06-13,Europe Central,2,2574.86,1287.43,1,0,2
2022-06-13,North America East,3,3990.82,1330.2733333333335,1,0,3
2022-06-13,Europe West,1,4076.14,4076.14,0,1,1
2024-07-08,Europe Central,1,2514.47,2514.47,0,0,1
2024-07-08,North America West,1,3184.96,3184.96,1,0,1
2024-07-08,APAC,1,594.72,594.72,1,0,1
2024-07-08,North America East,1,4438.38,4438.38,1,0,1
2024-07-08,Europe West,4,9898.4,2474.6,2,0,4
2023-02-04,APAC,1,933.7,933.7,1,0,1
2023-02-04,Europe Central,1,3702.38,3702.38,1,0,1
2023-02-04,Europe West,2,5802.15,2901.075,1,0,2
2023-02-04,North America East,2,8908.18,4454.09,1,1,2
2024-09-25,North America East,3,8696.75,2898.9166666666665,2,0,3
2024-09-25,Europe West,1,4837.63,4837.63,1,0,1
2024-09-25,Europe Central,1,3670.99,3670.99,1,0,1
2022-02-24,North America West,3,9183.17,3061.0566666666664,2,1,3
2022-02-24,Europe Central,3,10232.279999999999,3410.7599999999998,3,0,3
2022-02-24,Europe West,1,3031.14,3031.14,1,0,1
2024-02-03,Europe Central,2,1431.78,715.8900000000001,2,0,2
2024-02-03,North America West,1,2529.16,2529.16,1,0,1
2024-02-03,Europe West,1,2475.71,2475.71,1,0,1
2024-08-17,Europe Central,1,4794.68,4794.68,1,0,1
2024-08-17,North America West,1,3046.04,3046.04,1,0,1
2024-08-17,APAC,1,1067.12,1067.12,1,0,1
2024-08-17,North America East,3,9834.44,3278.1466666666665,1,1,3
2022-03-15,Europe West,1,4924.53,4924.53,0,0,1
2022-03-15,APAC,1,3416.48,3416.48,1,0,1
2022-03-15,North America East,1,4089.57,4089.57,1,0,1
2022-03-15,Europe Central,1,4267.93,4267.93,1,0,1
2022-03-15,North America West,4,12119.26,3029.8149999999996,4,0,4
2024-11-26,North America West,1,924.59,924.59,1,0,1
2024-11-26,Europe Central,1,4331.89,4331.89,1,0,1
2024-11-26,Europe West,3,8640.74,2880.2466666666664,2,0,3
2022-08-12,Europe Central,1,1542.1,1542.1,1,0,1
2022-03-12,Europe West,3,12983.51,4327.8366666666661,3,0,3
2022-03-12,APAC,1,257.93,257.93,1,0,1
2022-03-12,North America East,1,4574.43,4574.43,1,0,1
2022-03-12,North America West,1,405.6,405.6,1,0,1
2024-09-22,Europe West,1,3084.15,3084.15,1,0,1
2024-09-22,Europe Central,1,4579.85,4579.85,1,0,1
2024-09-22,North America West,2,6399.8499999999995,3199.9249999999997,1,0,2
2024-09-22,North America East,2,7902.87,3951.435,1,1,2
2024-04-27,North America West,1,3284,3284,0,0,1
2024-04-27,APAC,1,1289.8,1289.8,1,0,1
2023-10-17,North America East,3,9051.7899999999991,3017.2633333333333,3,0,3
2023-10-17,Europe Central,1,1635.59,1635.59,1,0,1
2023-10-17,APAC,1,1539.38,1539.38,1,0,1
2023-10-17,North America West,1,4481.41,4481.41,1,0,1
2024-04-22,Europe Central,1,3295.88,3295.88,1,0,1
2024-04-22,North America West,1,3199.68,3199.68,1,0,1
2024-04-22,North America East,1,4433.15,4433.15,0,1,1
2022-03-16,Europe West,2,7375.52,3687.76,1,1,2
2022-03-16,North America East,2,4370.76,2185.3799999999997,2,0,2
2022-03-16,North America West,1,2888.22,2888.22,1,0,1
2022-03-16,APAC,1,1794.92,1794.92,0,0,1
2024-03-16,Europe Central,2,4702.73,2351.365,1,0,2
2024-03-16,Europe West,1,179.99,179.99,1,0,1
2024-03-16,APAC,1,4192.8,4192.8,1,0,1
2024-03-16,North America East,1,1037.55,1037.55,0,1,1
2023-07-29,Europe West,1,2974.26,2974.26,1,0,1
2023-07-29,APAC,1,1099.96,1099.96,1,0,1
2023-07-29,North America West,1,1870.96,1870.96,1,0,1
2022-03-11,APAC,1,3201.9,3201.9,1,0,1
2022-03-11,Europe West,2,7395.34,3697.67,2,0,2
2022-03-11,Europe Central,2,5076.36,2538.18,2,0,2
2025-02-03,Europe West,3,11099.29,3699.7633333333333,2,1,3
2025-02-03,APAC,1,4104.52,4104.52,1,0,1
2025-02-03,North America East,1,3808.74,3808.74,1,0,1
2024-04-29,Europe Central,1,3983.17,3983.17,1,0,1
2024-04-29,North America West,2,9317.04,4658.52,2,0,2
2024-04-29,APAC,2,5156.91,2578.455,2,0,2
2023-10-12,North America East,1,3194.04,3194.04,1,0,1
2023-10-12,North America West,1,3357.82,3357.82,1,0,1
2023-10-12,Europe West,1,2713.15,2713.15,1,0,1
2023-06-18,Europe West,1,1113.3,1113.3,0,0,1
2023-06-18,North America East,2,3917.99,1958.995,0,0,2
2023-06-18,APAC,2,8157.93,4078.965,1,1,2
2024-02-06,Europe West,2,9116.57,4558.285,1,0,2
2024-02-06,Europe Central,1,2865.2,2865.2,1,0,1
2024-02-06,North America East,1,3941.72,3941.72,1,0,1
2024-03-19,APAC,1,4464.79,4464.79,1,0,1
2024-03-19,Europe West,1,2150.79,2150.79,1,0,1
2024-10-14,Europe Central,1,1191.01,1191.01,0,0,1
2024-10-14,Europe West,1,2608.18,2608.18,0,1,1
2024-10-14,APAC,1,964.74,964.74,1,0,1
2024-10-14,North America East,2,6667.63,3333.815,1,1,2
2024-11-21,Europe Central,1,1444.57,1444.57,0,1,1
2023-10-16,Europe West,2,4903.05,2451.525,2,0,2
2024-10-15,North America East,1,2084.89,2084.89,1,0,1
2024-10-15,Europe Central,1,2139.24,2139.24,1,0,1
2024-10-15,APAC,2,6462.58,3231.29,2,0,2
2024-10-15,North America West,4,12484.32,3121.08,3,1,4
2024-04-01,APAC,1,5.04,5.04,0,1,1
2024-04-01,North America East,3,1262.18,420.72666666666669,2,0,3
2022-10-14,APAC,1,3547.85,3547.85,1,0,1
2022-10-14,Europe West,1,375.08,375.08,1,0,1
2022-10-14,North America West,2,3449.26,1724.63,2,0,2
2022-10-14,North America East,3,2558.7200000000003,852.90666666666664,3,0,3
2024-08-10,APAC,1,4799.95,4799.95,1,0,1
2024-08-10,Europe West,1,1739.41,1739.41,0,1,1
2024-08-10,North America West,2,4652.65,2326.325,1,1,2
2024-08-10,North America East,2,441.73,220.865,2,0,2
2024-10-12,APAC,3,6464.65,2154.8833333333332,3,0,3
2024-10-12,Europe Central,3,5617.17,1872.39,2,0,3
2024-10-12,North America East,1,990.44,990.44,0,1,1
2023-10-10,Europe West,1,4874.96,4874.96,1,0,1
2023-10-10,North America West,1,599,599,1,0,1
2022-07-27,APAC,1,4770.22,4770.22,1,0,1
2022-07-27,North America West,2,1357.26,678.63,2,0,2
2022-07-27,Europe Central,2,4413.43,2206.715,2,0,2
2022-09-20,North America East,2,8086.27,4043.135,1,0,2
2024-10-18,Europe Central,1,299.35,299.35,1,0,1
2024-10-18,Europe West,1,3414.83,3414.83,1,0,1
2024-10-18,APAC,1,2089.2,2089.2,1,0,1
2024-11-27,APAC,1,3356.99,3356.99,0,1,1
2024-11-27,Europe Central,3,5628.01,1876.0033333333336,2,0,3
2024-11-27,North America East,3,9227.61,3075.87,3,0,3
2023-11-20,Europe West,2,5406.5,2703.25,2,0,2
2023-11-20,North America East,1,3915.45,3915.45,1,0,1
2022-02-07,Europe Central,3,4212.8799999999992,1404.2933333333333,2,0,3
2024-02-09,Europe Central,1,1862.45,1862.45,0,1,1
2024-02-09,Europe West,1,2790.78,2790.78,1,0,1
2024-02-09,North America West,1,2135.64,2135.64,1,0,1
2024-02-09,North America East,2,4380.04,2190.02,2,0,2
2023-07-27,Europe West,1,2075.93,2075.93,1,0,1
2023-07-27,APAC,1,960.97,960.97,1,0,1
2023-07-27,Europe Central,3,4367.58,1455.86,3,0,3
2023-07-26,Europe Central,1,4812.65,4812.65,0,0,1
2023-07-26,APAC,1,1384.8,1384.8,1,0,1
2023-07-26,North America West,1,2709.31,2709.31,1,0,1
2023-07-26,Europe West,1,3417.46,3417.46,1,0,1
2023-07-26,North America East,3,3517.71,1172.5700000000002,2,1,3
2024-05-30,Europe Central,1,4612.46,4612.46,1,0,1
2024-05-30,North America West,1,3024.35,3024.35,1,0,1
2024-10-11,Europe West,1,4007.22,4007.22,1,0,1
2024-10-11,Europe Central,1,4677.55,4677.55,1,0,1
2024-07-07,North America East,3,12460.61,4153.5366666666669,3,0,3
2024-07-07,North America West,2,6352.3,3176.15,0,0,2
2024-07-07,Europe Central,1,1041.82,1041.82,0,0,1
2024-04-26,APAC,1,15.16,15.16,0,0,1
2024-04-26,North America West,3,7932.65,2644.2166666666667,2,1,3
2024-11-24,North America East,2,2605.64,1302.82,2,0,2
2024-03-10,Europe West,1,3635.82,3635.82,1,0,1
2023-10-14,Europe Central,2,5817.8099999999995,2908.9049999999997,2,0,2
2023-10-14,North America East,1,206.87,206.87,1,0,1
2022-10-12,North America East,4,9503.49,2375.8725,4,0,4
2022-10-12,Europe West,1,1902.51,1902.51,1,0,1
2022-10-12,Europe Central,2,6362.2,3181.1,1,1,2
2024-04-23,Europe West,1,1997.17,1997.17,0,0,1
2024-04-23,Europe Central,3,5979.9800000000005,1993.3266666666668,1,0,3
2024-04-23,North America East,2,3036.35,1518.175,1,0,2
2022-05-07,North America West,2,620.2,310.1,0,0,2
2022-05-07,Europe West,3,4977.56,1659.1866666666665,3,0,3
2022-05-07,APAC,1,4456.9,4456.9,1,0,1
2023-02-26,Europe Central,1,4299.29,4299.29,0,0,1
2023-02-26,North America West,1,1468.41,1468.41,0,1,1
2023-02-26,North America East,1,3003.61,3003.61,1,0,1
2023-02-26,APAC,1,24.82,24.82,1,0,1
2023-03-31,APAC,1,3033.79,3033.79,1,0,1
2023-03-31,North America West,1,937.52,937.52,1,0,1
2023-08-14,North America East,1,4319.12,4319.12,1,0,1
2023-08-14,APAC,1,3454.29,3454.29,1,0,1
2023-08-14,Europe West,1,4158.63,4158.63,1,0,1
2022-05-08,Europe West,1,269.79,269.79,1,0,1
2022-05-08,APAC,2,7724.98,3862.49,1,0,2
2022-05-08,Europe Central,2,5546.77,2773.385,2,0,2
2024-07-05,Europe West,1,371.82,371.82,0,1,1
2023-08-16,North America West,5,12791.130000000001,2558.226,3,1,5
2023-08-16,Europe Central,1,1158.42,1158.42,1,0,1
2023-08-16,North America East,2,2996.85,1498.425,1,1,2
2023-08-16,Europe West,2,5912.17,2956.085,2,0,2
2023-09-22,Europe West,2,1027.94,513.97,2,0,2
2023-09-22,APAC,2,6226.16,3113.08,2,0,2
2023-09-22,North America East,2,2752.05,1376.025,2,0,2
2023-12-07,APAC,1,2195.49,2195.49,1,0,1
2023-12-07,Europe West,1,1040.15,1040.15,1,0,1
2023-12-07,North America West,2,3666.15,1833.075,1,0,2
2023-12-07,North America East,2,7892.87,3946.435,1,1,2
2024-10-13,Europe West,1,4798.95,4798.95,1,0,1
2024-09-27,North America East,1,2742.69,2742.69,1,0,1
2024-09-27,APAC,1,3472.07,3472.07,1,0,1
2024-09-27,Europe West,1,4773.63,4773.63,0,1,1
2024-07-09,Europe Central,1,2642.69,2642.69,1,0,1
2024-07-09,North America East,1,1209.79,1209.79,1,0,1
2024-07-09,APAC,1,4577.84,4577.84,1,0,1
2024-10-09,APAC,1,3562.83,3562.83,1,0,1
2024-10-09,Europe West,2,5691.69,2845.8450000000003,2,0,2
2022-11-21,Europe West,1,674.73,674.73,0,1,1
2022-11-21,APAC,1,3349.87,3349.87,1,0,1
2022-11-21,Europe Central,1,4848.16,4848.16,1,0,1
2022-11-21,North America West,2,6374.92,3187.46,2,0,2
2025-02-08,North America East,5,13195.45,2639.09,5,0,5
2025-02-08,North America West,1,2254.38,2254.38,1,0,1
2024-07-29,Europe West,1,2195.03,2195.03,1,0,1
2024-07-29,Europe Central,1,4168.62,4168.62,1,0,1
2024-07-29,APAC,2,3286.35,1643.175,2,0,2
2024-07-29,North America East,2,4887.65,2443.825,1,0,2
2024-07-29,North America West,2,3717.67,1858.835,1,0,2
2022-10-30,North America West,1,3350.07,3350.07,0,0,1
2022-10-30,Europe West,1,3868.79,3868.79,0,0,1
2022-10-30,APAC,2,4673.16,2336.58,2,0,2
2022-10-10,Europe West,2,1767.68,883.84,2,0,2
2022-10-10,Europe Central,2,4303.83,2151.915,2,0,2
2022-10-10,North America East,1,1184.4,1184.4,1,0,1
2022-10-10,North America West,1,4550.47,4550.47,1,0,1
2023-11-22,Europe West,2,6130.7000000000007,3065.3500000000004,2,0,2
2023-11-22,North America East,2,4862.35,2431.175,2,0,2
2023-03-12,North America West,1,1256.93,1256.93,1,0,1
2023-03-12,Europe Central,1,962.73,962.73,1,0,1
2022-04-20,North America East,2,1894.02,947.01,1,1,2
2022-04-20,North America West,2,3324.7200000000003,1662.3600000000001,1,1,2
2022-04-20,Europe Central,2,947.92,473.96,2,0,2
2022-04-20,APAC,2,1465.95,732.975,2,0,2
2024-03-17,North America West,1,4621.04,4621.04,1,0,1
2024-03-17,Europe West,1,1683.13,1683.13,1,0,1
2022-05-05,APAC,1,2858.61,2858.61,1,0,1
2022-05-05,Europe Central,1,2108.25,2108.25,1,0,1
2022-05-05,North America East,4,8115.1900000000005,2028.7975000000001,3,1,4
2024-03-15,Europe Central,1,4350.52,4350.52,1,0,1
2024-03-15,APAC,1,872.98,872.98,0,1,1
2024-03-15,North America East,1,4216.94,4216.94,0,1,1
2022-02-06,North America West,2,5094.2099999999991,2547.1049999999996,0,1,2
2023-10-30,North America East,2,4798.78,2399.39,1,0,2
2023-10-30,Europe Central,1,3113.52,3113.52,1,0,1
2023-09-21,North America East,1,3493.53,3493.53,0,1,1
2023-09-21,APAC,1,4885.03,4885.03,1,0,1
2023-09-21,Europe Central,2,1808.95,904.47500000000014,2,0,2
2024-09-24,Europe West,1,3527.42,3527.42,1,0,1
2024-09-24,North America West,1,1128.96,1128.96,0,1,1
2023-03-11,Europe Central,1,755.24,755.24,0,0,1
2023-03-11,APAC,2,8778.86,4389.43,2,0,2
2023-03-11,Europe West,2,3456.1800000000003,1728.0900000000001,1,1,2
2023-03-11,North America East,2,4246.82,2123.41,1,1,2
2022-02-08,Europe Central,1,1607.82,1607.82,1,0,1
2022-02-08,North America West,1,1163.7,1163.7,0,0,1
2022-02-08,Europe West,2,3737.3500000000004,1868.6750000000002,2,0,2
2022-02-08,North America East,2,7813.2,3906.6,2,0,2
2023-04-23,North America West,1,2283.41,2283.41,1,0,1
2023-04-23,Europe Central,1,1239.45,1239.45,1,0,1
2023-04-23,North America East,2,2530.5699999999997,1265.2849999999999,1,0,2
2022-04-23,Europe West,2,6446.9,3223.45,2,0,2
2024-03-09,North America East,2,5439.76,2719.88,2,0,2
2024-03-09,Europe West,1,2596.35,2596.35,1,0,1
2024-04-25,North America East,1,658.93,658.93,0,1,1
2024-04-25,Europe West,1,405.89,405.89,1,0,1
2024-04-25,APAC,2,4374.22,2187.1099999999997,2,0,2
2023-04-20,Europe West,2,5646.6,2823.3,1,1,2
2023-04-20,North America East,2,2755.07,1377.535,2,0,2
2023-04-20,Europe Central,1,764.74,764.74,1,0,1
2024-05-27,North America East,5,10161.449999999999,2032.2900000000002,4,0,5
2024-05-27,APAC,1,1820.5,1820.5,1,0,1
2024-05-27,Europe West,3,3740.68,1246.8933333333332,2,1,3
2023-08-30,North America West,1,3879.35,3879.35,0,0,1
2023-08-30,Europe West,2,3868.08,1934.04,1,0,2
2023-03-17,North America East,1,1667.09,1667.09,0,0,1
2023-03-17,Europe Central,1,4183.67,4183.67,1,0,1
2023-03-17,Europe West,1,1575.83,1575.83,1,0,1
2022-02-22,Europe West,1,4711.81,4711.81,1,0,1
2022-02-22,North America West,2,989.29000000000008,494.64500000000004,1,1,2
2022-02-22,North America East,2,954.57,477.285,2,0,2
2024-12-31,North America East,1,754.42,754.42,1,0,1
2024-12-31,Europe West,1,3828.75,3828.75,1,0,1
2024-12-31,North America West,1,3045.22,3045.22,0,1,1
2022-06-15,APAC,1,3173.62,3173.62,1,0,1
2022-06-15,North America West,1,1892.3,1892.3,1,0,1
2022-06-15,Europe West,1,4499.22,4499.22,1,0,1
2022-06-15,North America East,1,3404.54,3404.54,1,0,1
2022-06-15,Europe Central,2,4141.49,2070.745,2,0,2
2023-08-31,APAC,1,4045.55,4045.55,0,0,1
2023-08-31,North America East,1,3496.85,3496.85,1,0,1
2023-08-31,Europe Central,1,4491.49,4491.49,1,0,1
2024-08-07,North America East,1,2641.33,2641.33,1,0,1
2024-08-07,Europe West,1,1826.91,1826.91,1,0,1
2024-08-07,Europe Central,2,6966.79,3483.395,2,0,2
2023-02-25,North America East,1,1123.21,1123.21,1,0,1
2023-02-25,Europe West,1,406.45,406.45,1,0,1
2023-02-25,North America West,1,3885.99,3885.99,0,1,1
2022-10-13,APAC,1,928.71,928.71,1,0,1
2022-10-13,North America East,1,1672.9,1672.9,0,0,1
2022-10-13,North America West,2,4805.63,2402.815,2,0,2
2024-08-13,North America East,1,4030.51,4030.51,1,0,1
2024-08-13,APAC,1,326.14,326.14,1,0,1
2024-08-13,Europe West,1,1827.81,1827.81,1,0,1
2024-08-13,North America West,1,1704.52,1704.52,1,0,1
2024-08-13,Europe Central,4,11041.48,2760.3700000000003,2,0,4
2024-12-30,APAC,1,3971.38,3971.38,1,0,1
2024-12-30,North America West,3,4615.78,1538.5933333333332,3,0,3
2024-11-16,North America West,1,2055.41,2055.41,0,1,1
2024-11-16,Europe Central,1,905.39,905.39,0,0,1
2024-12-29,Europe West,1,4947.03,4947.03,1,0,1
2024-12-29,North America West,1,4918.04,4918.04,1,0,1
2024-12-29,APAC,1,1276.89,1276.89,1,0,1
2024-09-21,North America East,2,4757.67,2378.835,0,0,2
2024-09-21,Europe West,1,1626.44,1626.44,0,0,1
2024-09-21,North America West,1,3966.5,3966.5,1,0,1
2024-09-21,APAC,1,3485.33,3485.33,1,0,1
2023-10-18,North America West,1,3198.45,3198.45,1,0,1
2023-10-15,Europe West,1,2409.82,2409.82,0,1,1
2023-10-15,APAC,1,4137.81,4137.81,1,0,1
2023-10-15,North America East,2,5527.8,2763.9,1,0,2
2024-08-19,North America East,1,4234.72,4234.72,1,0,1
2024-08-19,Europe Central,1,1231.3,1231.3,1,0,1
2022-02-09,APAC,1,1078.52,1078.52,0,0,1
2022-02-09,Europe West,2,1182.71,591.355,1,0,2
2022-02-09,Europe Central,2,5942.56,2971.28,2,0,2
2022-02-09,North America West,3,6972.6600000000008,2324.2200000000003,3,0,3
2023-04-21,Europe Central,1,1029.83,1029.83,0,1,1
