transaction_date,country,transaction_count,total_amount_usd_equivalent,average_transaction_amount,successful_transactions,failed_transactions,unique_users
2024-10-06,USA,1,59.95,59.95,1,0,1
2024-10-06,France,1,3209.02,3209.02,1,0,1
2024-10-06,Germany,2,5742.03,2871.0150000000003,1,1,2
2024-09-14,Germany,1,458.41,458.41,1,0,1
2024-09-14,UK,1,692.16,692.16,1,0,1
2024-09-14,Japan,1,3599.49,3599.49,1,0,1
2023-04-16,Japan,1,2228.76,2228.76,1,0,1
2023-04-16,USA,1,3085.52,3085.52,1,0,1
2023-04-16,UK,1,3162.02,3162.02,0,1,1
2022-09-16,USA,2,542.71,271.355,2,0,2
2022-09-16,Canada,1,2931.31,2931.31,1,0,1
2022-09-16,France,1,2929.66,2929.66,1,0,1
2022-09-16,Germany,1,4734.66,4734.66,0,0,1
2024-10-07,Germany,1,848.27,848.27,1,0,1
2024-10-07,Japan,1,884.67,884.67,1,0,1
2023-09-17,Germany,2,5773.1100000000006,2886.5550000000003,1,1,2
2023-09-17,Japan,1,1012.41,1012.41,1,0,1
2023-09-17,USA,1,2931.7,2931.7,1,0,1
2023-09-17,Canada,1,1705.8,1705.8,1,0,1
2023-12-24,UK,2,3739.1899999999996,1869.5949999999998,0,2,2
2023-12-24,France,1,2743.92,2743.92,0,0,1
2023-12-24,Canada,1,951.94,951.94,1,0,1
2023-12-24,Australia,1,643.1,643.1,1,0,1
2023-12-24,USA,1,2494.39,2494.39,1,0,1
2023-11-16,France,1,1872.99,1872.99,0,0,1
2023-11-16,Germany,1,559.38,559.38,1,0,1
2023-11-16,Canada,2,6033.03,3016.5150000000003,1,0,2
2023-11-16,Australia,2,7134.54,3567.27,2,0,2
2023-11-16,USA,3,6420.02,2140.0066666666667,2,0,3
2023-01-30,Canada,1,163.61,163.61,1,0,1
2023-01-30,France,1,3803.53,3803.53,0,0,1
2023-01-30,USA,1,3848.13,3848.13,0,1,1
2023-12-26,UK,1,520.62,520.62,1,0,1
2023-12-26,France,1,4188.21,4188.21,1,0,1
2023-12-26,Canada,1,3007.56,3007.56,1,0,1
2023-12-26,USA,1,2860.22,2860.22,1,0,1
2022-11-10,Japan,1,2385.23,2385.23,1,0,1
2022-11-10,Germany,1,2680.14,2680.14,1,0,1
2022-11-10,USA,2,6026.9500000000007,3013.4750000000004,2,0,2
2022-12-22,France,1,2692.95,2692.95,0,0,1
2022-11-11,UK,1,1867.9,1867.9,0,0,1
2022-11-11,Japan,1,769.54,769.54,1,0,1
2022-11-11,USA,1,3479.22,3479.22,1,0,1
2025-03-01,Japan,1,3780.32,3780.32,0,0,1
2025-03-01,Canada,1,3383.82,3383.82,0,0,1
2025-03-01,France,1,3560.72,3560.72,1,0,1
2025-03-01,Germany,1,3166.85,3166.85,1,0,1
2024-10-08,Japan,1,2861.1,2861.1,0,0,1
2024-10-08,USA,1,4777.81,4777.81,1,0,1
2024-10-08,France,2,3885.2599999999998,1942.6299999999999,1,0,2
2024-01-31,Canada,1,2481.27,2481.27,0,0,1
2024-01-31,Germany,1,1721.02,1721.02,0,0,1
2024-01-31,Australia,1,2636.36,2636.36,0,1,1
2024-01-31,Japan,1,1274.69,1274.69,1,0,1
2024-01-31,USA,2,753.17,376.585,2,0,2
2024-08-04,USA,1,1333.55,1333.55,0,0,1
2024-08-04,Canada,1,2333.42,2333.42,1,0,1
2024-08-04,Germany,1,170.12,170.12,1,0,1
2024-08-04,Australia,1,109.6,109.6,1,0,1
2024-08-04,Japan,1,2523.36,2523.36,1,0,1
2024-08-04,France,1,3488.39,3488.39,1,0,1
2024-04-15,UK,1,3295.94,3295.94,0,0,1
2024-04-15,Canada,1,3392.01,3392.01,1,0,1
2024-04-15,USA,2,1325.65,662.825,1,0,2
2022-10-08,USA,1,4247.17,4247.17,1,0,1
2022-10-08,UK,1,3293.11,3293.11,1,0,1
2022-10-08,Canada,1,1654.52,1654.52,1,0,1
2022-10-08,Germany,2,6822.62,3411.31,2,0,2
2022-04-18,Japan,2,6492.07,3246.035,2,0,2
2022-04-18,UK,2,3999.4300000000003,1999.7150000000001,2,0,2
2022-04-18,USA,3,2320.31,773.43666666666672,3,0,3
2023-11-12,Japan,1,985.43,985.43,1,0,1
2023-11-12,USA,2,6552.5599999999995,3276.2799999999997,1,0,2
2023-11-12,France,2,7803.7699999999995,3901.8849999999998,2,0,2
2024-04-11,USA,1,347.06,347.06,0,0,1
2024-04-11,Germany,1,2046.04,2046.04,1,0,1
2024-04-11,UK,1,4682.77,4682.77,0,0,1
2024-04-11,France,1,1419.37,1419.37,0,1,1
2023-04-19,Japan,2,2393.15,1196.575,1,0,2
2023-04-19,Australia,1,2346.29,2346.29,1,0,1
2023-04-19,Canada,1,3365.1,3365.1,1,0,1
2022-08-06,France,1,4077.53,4077.53,0,0,1
2022-08-06,Japan,1,4305.02,4305.02,1,0,1
2022-08-06,Canada,1,3024.01,3024.01,1,0,1
2022-08-06,Germany,1,1781.28,1781.28,0,1,1
2023-11-19,Canada,4,9985.12,2496.28,2,0,4
2023-11-19,USA,1,2809.42,2809.42,1,0,1
2023-11-19,France,1,2443.96,2443.96,1,0,1
2022-12-21,Australia,1,18.72,18.72,1,0,1
2022-12-21,UK,1,2482.25,2482.25,1,0,1
2022-12-21,France,1,2977.43,2977.43,1,0,1
2022-12-21,USA,2,2655.7,1327.85,2,0,2
2022-12-21,Germany,2,8252.91,4126.455,2,0,2
2023-01-11,Japan,1,2665.02,2665.02,1,0,1
2023-01-11,Germany,1,227.58,227.58,1,0,1
2023-01-11,USA,1,3714.02,3714.02,0,1,1
2023-12-20,Japan,1,3073.61,3073.61,0,1,1
2023-12-20,USA,1,1646.67,1646.67,1,0,1
2023-12-20,Canada,1,3745.61,3745.61,1,0,1
2023-12-20,UK,2,2975.5,1487.75,1,0,2
2024-10-28,USA,1,3633.33,3633.33,1,0,1
2024-10-28,UK,1,2681.28,2681.28,1,0,1
2024-10-28,Japan,1,451.39,451.39,0,0,1
2024-10-28,Germany,1,956.58,956.58,0,0,1
2022-08-01,France,1,3210.5,3210.5,0,0,1
2022-08-01,Australia,1,110.11,110.11,1,0,1
2022-08-01,UK,2,3691.71,1845.855,1,1,2
2023-03-07,France,1,1563.39,1563.39,1,0,1
2023-03-07,Canada,1,2543.87,2543.87,0,0,1
2023-03-07,Germany,1,773.42,773.42,1,0,1
2023-03-07,Japan,2,7126.2899999999991,3563.1449999999995,1,1,2
2023-03-07,USA,2,3172.9399999999996,1586.4699999999998,2,0,2
2025-01-31,Canada,1,648.12,648.12,1,0,1
2025-01-31,Germany,1,2568.15,2568.15,0,1,1
2025-03-08,Germany,1,2952.87,2952.87,1,0,1
2025-03-08,Japan,1,4976.51,4976.51,0,0,1
2025-03-08,Canada,1,3084.31,3084.31,0,0,1
2025-03-08,UK,1,994.48,994.48,0,0,1
2023-04-17,Australia,1,2720.36,2720.36,0,0,1
2023-04-17,Canada,2,2469.26,1234.63,1,0,2
2023-04-17,Germany,2,7099.74,3549.87,2,0,2
2023-04-17,UK,3,8192.48,2730.8266666666668,2,0,3
2024-03-29,France,2,2728.63,1364.315,1,1,2
2024-03-29,USA,1,2825.69,2825.69,0,0,1
2024-03-29,Germany,3,2735.86,911.95333333333338,2,0,3
2022-06-12,Germany,1,1057.12,1057.12,0,0,1
2022-06-12,Japan,1,3820.31,3820.31,1,0,1
2022-06-12,Canada,1,3667.62,3667.62,1,0,1
2022-06-12,USA,2,5492.42,2746.21,1,0,2
2023-11-13,USA,1,4474.82,4474.82,1,0,1
2023-11-13,France,1,2691.11,2691.11,1,0,1
2023-11-13,Australia,1,4305.23,4305.23,1,0,1
2022-08-07,France,2,2115.4100000000003,1057.705,1,1,2
2022-03-07,UK,1,321.68,321.68,1,0,1
2022-03-07,USA,1,2490.54,2490.54,1,0,1
2022-03-07,Japan,1,4513.49,4513.49,0,1,1
2023-02-24,Germany,1,1330.8,1330.8,1,0,1
2023-02-24,USA,1,1650.46,1650.46,1,0,1
2022-03-05,Australia,1,4588.09,4588.09,1,0,1
2022-03-05,Japan,2,2941.7799999999997,1470.8899999999999,2,0,2
2022-03-05,Germany,2,6137.76,3068.88,2,0,2
2022-03-05,USA,2,4903.6900000000005,2451.8450000000003,0,0,2
2022-03-05,France,2,8492.28,4246.14,1,1,2
2024-08-28,USA,1,1215.94,1215.94,1,0,1
2024-08-28,UK,1,3047.48,3047.48,1,0,1
2024-03-08,UK,1,3350.94,3350.94,0,1,1
2024-03-08,USA,1,3272.2,3272.2,0,0,1
2024-03-08,Germany,1,4174.85,4174.85,1,0,1
2024-03-08,Australia,1,3642.69,3642.69,1,0,1
2024-03-08,Japan,2,7359.33,3679.665,1,1,2
2022-01-13,USA,1,3202.23,3202.23,1,0,1
2022-01-13,France,1,1949.61,1949.61,1,0,1
2022-01-13,Australia,1,4175.69,4175.69,1,0,1
2022-01-13,Canada,2,3921.3599999999997,1960.6799999999998,1,0,2
2023-11-15,Canada,1,1207.35,1207.35,1,0,1
2023-11-15,USA,1,3761.19,3761.19,1,0,1
2023-11-15,Australia,1,2051.34,2051.34,1,0,1
2023-11-15,Japan,3,2434.33,811.44333333333327,2,1,3
2023-09-18,USA,1,2560.75,2560.75,0,1,1
2022-05-25,France,1,4019.97,4019.97,1,0,1
2022-05-25,Germany,1,2504.11,2504.11,1,0,1
2022-05-25,USA,1,451.86,451.86,0,1,1
2023-05-05,UK,1,1943.77,1943.77,1,0,1
2023-05-05,Japan,1,2150.05,2150.05,1,0,1
2023-05-05,France,1,4461.2,4461.2,1,0,1
2023-05-05,Canada,1,1737.14,1737.14,1,0,1
2023-05-05,Australia,2,3072.2799999999997,1536.1399999999999,1,0,2
2023-06-30,Germany,1,1844.43,1844.43,1,0,1
2023-06-30,USA,1,3261.93,3261.93,1,0,1
2023-06-30,France,2,5826.6200000000008,2913.3100000000004,2,0,2
2022-01-15,Germany,1,612.23,612.23,0,0,1
2022-01-15,France,1,1484.28,1484.28,0,1,1
2022-01-15,Australia,1,4607.91,4607.91,1,0,1
2022-01-15,UK,1,1633.89,1633.89,1,0,1
2022-01-15,Canada,1,1219.85,1219.85,1,0,1
2023-05-03,Japan,1,1723.1,1723.1,1,0,1
2023-05-03,Canada,1,1759.62,1759.62,1,0,1
2023-05-03,UK,1,1343.08,1343.08,1,0,1
2023-05-03,Germany,1,4180.23,4180.23,0,1,1
2023-11-18,France,1,350.96,350.96,0,1,1
2023-11-18,USA,1,2685.85,2685.85,0,0,1
2023-11-18,Germany,1,4277.99,4277.99,0,0,1
2024-10-25,UK,1,1657.93,1657.93,1,0,1
2024-10-25,France,1,1651.38,1651.38,1,0,1
2024-10-25,Australia,1,4498.46,4498.46,0,0,1
2024-10-29,Canada,1,2848.07,2848.07,0,0,1
2024-10-29,USA,1,660.64,660.64,1,0,1
2024-10-29,Germany,1,1218.09,1218.09,1,0,1
2024-10-29,UK,1,162.92,162.92,1,0,1
2024-10-29,Japan,2,5855.74,2927.87,1,1,2
2022-09-17,Canada,2,4360.1900000000005,2180.0950000000003,1,1,2
2022-09-17,UK,1,3303.74,3303.74,1,0,1
2022-09-17,France,1,3591.53,3591.53,1,0,1
2023-12-03,France,1,1391.85,1391.85,1,0,1
2023-12-03,Germany,1,4401.03,4401.03,1,0,1
2023-12-03,Canada,1,1262.58,1262.58,1,0,1
2024-08-29,UK,2,3181.66,1590.83,0,1,2
2024-08-29,Germany,1,2567.49,2567.49,0,1,1
2024-08-29,Japan,1,3675.36,3675.36,1,0,1
2024-08-29,France,3,7729.28,2576.4266666666667,2,0,3
2023-08-08,Germany,1,3911.83,3911.83,0,1,1
2023-08-08,USA,2,4950.4000000000005,2475.2000000000003,2,0,2
2023-08-08,Australia,2,4875,2437.5,2,0,2
2022-08-08,Japan,1,1480.44,1480.44,1,0,1
2022-08-08,Canada,1,1930.6,1930.6,1,0,1
2022-08-08,USA,1,3854.82,3854.82,0,0,1
2022-05-23,Canada,1,3972.91,3972.91,0,0,1
2022-05-23,France,2,1668.12,834.06,0,2,2
2023-12-04,Australia,1,3413.15,3413.15,1,0,1
2023-12-04,UK,1,1517.26,1517.26,1,0,1
2023-12-04,Japan,1,3313.44,3313.44,1,0,1
2023-12-04,France,1,2857.78,2857.78,0,1,1
2023-12-25,USA,1,1267.33,1267.33,0,0,1
2023-12-25,UK,1,1878.94,1878.94,1,0,1
2023-12-25,Japan,2,3823.99,1911.995,2,0,2
2022-12-25,Australia,1,4687.78,4687.78,0,1,1
2022-12-25,Germany,1,1441.96,1441.96,1,0,1
2022-12-25,USA,1,360.98,360.98,1,0,1
2022-12-25,UK,1,48.12,48.12,1,0,1
2022-12-25,Japan,2,5524.8,2762.4,1,0,2
2022-12-25,France,2,4920.73,2460.365,2,0,2
2022-01-30,Japan,1,3610.51,3610.51,0,0,1
2022-01-30,Canada,1,2012.34,2012.34,1,0,1
2022-01-30,France,2,2602.05,1301.025,2,0,2
2023-04-18,Canada,2,3088.9300000000003,1544.4650000000001,0,0,2
2023-04-18,Australia,1,3331.05,3331.05,0,1,1
2023-04-18,Germany,1,4097.63,4097.63,0,1,1
2023-04-18,France,1,1402.09,1402.09,1,0,1
2023-04-18,USA,1,4573.02,4573.02,1,0,1
2023-04-18,UK,1,2229.26,2229.26,1,0,1
2023-04-18,Japan,3,5453.05,1817.6833333333334,3,0,3
2024-11-12,Germany,1,4477.7,4477.7,0,0,1
2024-11-12,France,1,4881.35,4881.35,1,0,1
2024-11-12,Australia,1,555.06,555.06,1,0,1
2024-11-12,Canada,1,2516.88,2516.88,1,0,1
2024-11-12,USA,1,3039.04,3039.04,1,0,1
2024-06-08,Australia,1,792.87,792.87,1,0,1
2024-06-08,UK,1,3085.54,3085.54,1,0,1
2024-06-08,France,1,4874.46,4874.46,1,0,1
2024-03-02,France,3,10897.400000000001,3632.4666666666667,1,2,3
2024-03-02,Canada,2,5919.87,2959.935,2,0,2
2024-03-02,Germany,1,1287.57,1287.57,1,0,1
2024-03-02,UK,1,1428.67,1428.67,1,0,1
2024-03-02,USA,1,3327.81,3327.81,1,0,1
2024-08-05,USA,1,2673.65,2673.65,0,0,1
2024-08-05,Germany,1,3243.29,3243.29,0,0,1
2023-08-09,Germany,1,81.98,81.98,0,0,1
2023-08-09,France,1,2472.08,2472.08,1,0,1
2023-08-09,UK,2,4663.77,2331.885,2,0,2
2023-08-09,Canada,2,4622.32,2311.16,0,1,2
2022-10-04,Canada,1,1162.47,1162.47,1,0,1
2022-10-04,Germany,1,3401.02,3401.02,1,0,1
2024-03-26,Australia,1,1062.07,1062.07,0,1,1
2024-03-26,Japan,1,2879.04,2879.04,1,0,1
2024-03-26,Canada,1,1900.33,1900.33,1,0,1
2024-03-26,Germany,3,5582.68,1860.8933333333332,3,0,3
2024-11-30,Germany,2,8582.89,4291.445,1,1,2
2024-11-30,UK,1,3828.66,3828.66,1,0,1
2024-11-30,France,1,441.96,441.96,1,0,1
2022-02-20,Japan,2,3585.0299999999997,1792.5149999999999,2,0,2
2022-02-20,USA,4,10141.57,2535.3925,2,2,4
2022-03-04,UK,1,2204.31,2204.31,1,0,1
2022-03-04,Germany,1,92.91,92.91,1,0,1
2022-03-04,France,1,3273.83,3273.83,0,0,1
2023-10-06,Germany,1,2910.09,2910.09,1,0,1
2023-10-06,USA,2,4157.66,2078.83,1,0,2
2023-10-06,Japan,2,3980.12,1990.0600000000002,2,0,2
2023-09-15,France,1,1171.29,1171.29,0,0,1
2023-09-15,Japan,1,4682.31,4682.31,1,0,1
2023-09-15,USA,1,208.38,208.38,1,0,1
2024-03-25,Japan,2,8179.25,4089.625,2,0,2
2024-03-25,Germany,2,4931.91,2465.955,2,0,2
2024-03-25,Canada,1,3914.3,3914.3,1,0,1
2025-03-06,Japan,2,2088.8,1044.4,2,0,2
2025-03-06,Germany,2,6589.87,3294.935,2,0,2
2025-03-06,USA,1,4301.24,4301.24,1,0,1
2025-03-06,Australia,1,3400.69,3400.69,1,0,1
2025-03-06,UK,3,3933.49,1311.1633333333334,3,0,3
2022-11-16,France,1,2899.05,2899.05,0,0,1
2022-11-16,Germany,1,4991.3,4991.3,1,0,1
2022-11-16,Canada,1,937.85,937.85,1,0,1
2022-11-16,UK,3,10902.17,3634.0566666666668,3,0,3
2024-07-18,Canada,1,1758.36,1758.36,0,0,1
2023-12-29,Canada,1,3578.26,3578.26,1,0,1
2023-12-29,Japan,1,4842.76,4842.76,1,0,1
2023-12-29,France,1,2782.12,2782.12,1,0,1
2023-03-31,Australia,1,3033.79,3033.79,1,0,1
2023-03-31,USA,1,937.52,937.52,1,0,1
2022-09-15,France,1,1652.51,1652.51,1,0,1
2022-09-15,Canada,1,4608.55,4608.55,1,0,1
2022-09-15,Australia,1,4473.59,4473.59,1,0,1
2022-09-15,UK,1,3456.27,3456.27,1,0,1
2023-01-10,Germany,1,2441.81,2441.81,1,0,1
2023-01-10,USA,1,2872.08,2872.08,1,0,1
2023-01-10,Canada,1,2930.05,2930.05,1,0,1
2023-01-10,UK,1,3034.97,3034.97,1,0,1
2023-01-10,Japan,1,974.65,974.65,1,0,1
2023-12-02,Japan,1,4130.25,4130.25,1,0,1
2023-12-02,USA,2,4075.1200000000003,2037.5600000000002,1,0,2
2023-12-02,Canada,2,7539.87,3769.935,2,0,2
2023-06-04,Australia,1,1733.85,1733.85,1,0,1
2023-06-04,Germany,1,3150.26,3150.26,1,0,1
2022-04-16,France,2,3539.95,1769.975,1,0,2
2022-04-16,Canada,2,4959.41,2479.705,2,0,2
2022-04-16,USA,2,5100.84,2550.42,2,0,2
2023-01-17,France,2,5255.23,2627.615,1,0,2
2023-01-17,Canada,1,3320.27,3320.27,1,0,1
2023-01-17,USA,1,1735.28,1735.28,1,0,1
2023-01-17,Germany,1,4592.38,4592.38,1,0,1
2023-01-05,USA,1,3608.26,3608.26,1,0,1
2023-01-05,Australia,2,2019.99,1009.9950000000001,1,0,2
2023-01-05,France,2,2607.9799999999996,1303.9899999999998,1,1,2
2023-09-13,France,2,4907.21,2453.6050000000005,2,0,2
2023-09-13,Japan,2,6651.4400000000005,3325.7200000000003,1,1,2
2023-09-13,Canada,2,6552.62,3276.31,1,0,2
2023-09-13,USA,1,1546.87,1546.87,1,0,1
2023-09-13,UK,1,2062.87,2062.87,1,0,1
2023-09-13,Germany,1,1467.15,1467.15,1,0,1
2024-10-24,Japan,1,2422.32,2422.32,0,0,1
2024-10-24,USA,1,4535.81,4535.81,1,0,1
2024-10-24,UK,1,795.34,795.34,1,0,1
2024-10-24,Germany,2,5128.12,2564.06,1,1,2
2024-10-24,Canada,2,1098.24,549.12,1,1,2
2024-10-24,France,3,5292.87,1764.2899999999997,2,0,3
2024-10-26,Australia,1,829.79,829.79,1,0,1
2024-10-26,USA,1,266.59,266.59,1,0,1
2024-10-26,France,1,3330.93,3330.93,1,0,1
2023-02-13,USA,1,122.39,122.39,1,0,1
2023-02-23,USA,1,1795.83,1795.83,1,0,1
2023-02-23,Canada,2,6207.03,3103.515,1,1,2
2023-06-11,Canada,1,1312.09,1312.09,0,1,1
2023-06-11,USA,1,1636.1,1636.1,1,0,1
2022-05-02,Japan,1,3410.15,3410.15,0,1,1
2022-05-02,USA,1,3449.65,3449.65,1,0,1
2022-05-02,Germany,1,3069.08,3069.08,1,0,1
2023-12-06,France,1,2448.51,2448.51,1,0,1
2023-12-06,UK,1,3551.14,3551.14,0,0,1
2023-12-06,Australia,1,3207.34,3207.34,0,0,1
2023-12-06,USA,2,2735.42,1367.71,2,0,2
2025-03-27,Germany,1,3167.47,3167.47,0,1,1
2025-03-27,Australia,1,106.69,106.69,1,0,1
2025-03-27,Japan,2,7144.17,3572.085,2,0,2
2025-03-27,Canada,2,8159.67,4079.835,2,0,2
2025-03-27,UK,3,5723.84,1907.9466666666665,3,0,3
2024-10-21,Germany,1,2631.45,2631.45,0,0,1
2024-10-21,Australia,1,4305.73,4305.73,1,0,1
2024-10-21,Canada,1,2732.15,2732.15,1,0,1
2024-10-21,France,1,257.25,257.25,1,0,1
2024-10-21,USA,2,8967.79,4483.895,2,0,2
2023-09-11,Germany,1,1856.78,1856.78,1,0,1
2023-09-11,Australia,1,562.75,562.75,1,0,1
2023-09-11,Japan,2,2309.91,1154.955,1,1,2
2023-09-11,France,2,2820.48,1410.24,2,0,2
2024-02-12,Germany,1,4099.71,4099.71,0,0,1
2024-02-12,France,1,2513.85,2513.85,0,1,1
2024-02-12,Australia,1,529.71,529.71,0,0,1
2024-02-12,Canada,1,4255.17,4255.17,1,0,1
2024-02-12,Japan,1,1279.5,1279.5,1,0,1
2024-02-12,UK,2,4240.33,2120.165,1,0,2
2022-10-31,UK,1,903.11,903.11,1,0,1
2022-10-31,France,1,1446.24,1446.24,1,0,1
2022-10-31,Japan,2,2040.36,1020.18,1,1,2
2022-05-03,France,1,360.6,360.6,1,0,1
2022-05-03,Canada,1,3335.06,3335.06,1,0,1
2022-05-03,Japan,1,3908.28,3908.28,1,0,1
2024-08-02,Germany,1,4563.92,4563.92,1,0,1
2024-08-02,Australia,1,443.49,443.49,1,0,1
2023-02-22,Australia,1,4252.66,4252.66,1,0,1
2023-02-22,Germany,1,932.49,932.49,1,0,1
2023-02-22,USA,3,7530.04,2510.0133333333333,3,0,3
2022-07-20,Australia,1,2697.82,2697.82,0,0,1
2024-01-01,Germany,2,7849.9400000000005,3924.9700000000003,2,0,2
2024-01-01,USA,2,2044.1000000000001,1022.05,1,0,2
2025-03-10,Australia,1,3375.31,3375.31,0,1,1
2025-03-10,Germany,1,3903.81,3903.81,0,0,1
2025-03-10,Canada,1,4127.8,4127.8,0,1,1
2025-03-10,Japan,2,7779.21,3889.605,1,0,2
2025-03-10,USA,2,9050.57,4525.285,1,0,2
2025-03-10,France,2,2180.89,1090.4450000000002,2,0,2
2022-05-22,France,1,1832.95,1832.95,1,0,1
2022-05-22,UK,1,3367.84,3367.84,1,0,1
2022-05-22,Australia,1,4073.25,4073.25,1,0,1
2022-05-22,Japan,2,4090.9900000000002,2045.4950000000001,2,0,2
2024-02-13,France,1,1629.07,1629.07,1,0,1
2024-02-13,Germany,1,3467.54,3467.54,1,0,1
2024-02-13,Australia,1,3844.55,3844.55,1,0,1
2024-02-13,Canada,2,5733.65,2866.825,2,0,2
2025-02-24,France,1,3890.36,3890.36,0,0,1
2025-02-24,Germany,1,1743.01,1743.01,1,0,1
2025-02-24,Japan,1,2941.19,2941.19,1,0,1
2024-02-17,Germany,1,4858.29,4858.29,0,1,1
2024-02-17,USA,1,2014.79,2014.79,1,0,1
2025-01-30,Germany,1,4293.2,4293.2,1,0,1
2025-01-30,France,2,6096.42,3048.21,1,0,2
2025-01-30,USA,2,8558.05,4279.025,1,1,2
2024-06-05,USA,1,865.06,865.06,0,1,1
2024-06-05,Germany,1,2624.09,2624.09,0,0,1
2024-06-05,Japan,1,1208.71,1208.71,1,0,1
2024-06-05,Canada,1,595.22,595.22,1,0,1
2023-01-16,Japan,2,6177.21,3088.605,0,0,2
2024-01-28,France,2,5030.84,2515.42,1,0,2
2024-01-28,Canada,1,4832.93,4832.93,0,0,1
2024-01-28,UK,1,706.27,706.27,0,1,1
2023-05-24,UK,1,4015.13,4015.13,1,0,1
2023-05-24,Japan,1,4049.67,4049.67,1,0,1
2023-05-24,France,1,3838.48,3838.48,1,0,1
2023-05-24,USA,1,989.96,989.96,0,1,1
2022-07-27,France,1,593.09,593.09,1,0,1
2022-07-27,Germany,1,3820.34,3820.34,1,0,1
2022-07-27,Japan,1,391.79,391.79,1,0,1
2022-07-27,Australia,1,4770.22,4770.22,1,0,1
2022-07-27,USA,1,965.47,965.47,1,0,1
2022-03-06,Germany,2,4660.82,2330.41,2,0,2
2022-03-06,France,2,6359.45,3179.725,1,1,2
2024-08-06,UK,1,3321.56,3321.56,0,0,1
2024-08-06,France,1,2566.97,2566.97,1,0,1
2024-08-06,USA,1,4973.85,4973.85,1,0,1
2024-08-06,Japan,2,6990.1900000000005,3495.0950000000003,2,0,2
2024-12-21,France,1,3979.77,3979.77,1,0,1
2024-12-21,USA,1,4678.97,4678.97,1,0,1
2024-12-21,Australia,1,4360.01,4360.01,1,0,1
2024-09-13,Canada,2,5478.31,2739.155,1,1,2
2024-09-13,Australia,1,1711.66,1711.66,1,0,1
2024-09-13,France,1,1571.16,1571.16,1,0,1
2024-09-13,Germany,1,2628.62,2628.62,1,0,1
2023-12-21,Australia,1,3150.77,3150.77,1,0,1
2023-12-21,Japan,1,3833.28,3833.28,1,0,1
2025-02-26,Japan,1,1412.81,1412.81,0,0,1
2025-02-26,UK,1,828.42,828.42,1,0,1
2025-02-26,France,4,11432.23,2858.0575,1,0,4
2023-02-25,Germany,1,406.45,406.45,1,0,1
2023-02-25,USA,2,5009.2,2504.6,1,1,2
2022-05-27,Australia,1,1983.13,1983.13,1,0,1
2022-05-27,Germany,1,4991.25,4991.25,1,0,1
2022-05-27,France,1,1805.82,1805.82,1,0,1
2022-02-23,Germany,2,7248.1399999999994,3624.0699999999997,1,0,2
2022-02-23,USA,1,815.81,815.81,0,0,1
2022-02-23,UK,1,3475.16,3475.16,0,0,1
2022-12-29,Germany,1,539.94,539.94,1,0,1
2024-02-14,UK,1,207.59,207.59,1,0,1
2024-02-14,Australia,1,3173.79,3173.79,1,0,1
2024-02-14,Germany,2,5875.09,2937.545,1,0,2
2024-02-14,USA,3,5555.5800000000008,1851.8600000000001,3,0,3
2024-06-30,UK,1,119.21,119.21,1,0,1
2024-06-30,Germany,1,4005.12,4005.12,1,0,1
2024-06-30,France,2,2752.31,1376.155,0,0,2
2024-10-20,Canada,2,1090.88,545.44,1,1,2
2024-10-20,Australia,1,1040.91,1040.91,1,0,1
2024-05-21,Germany,1,4912.63,4912.63,1,0,1
